,match_id,game,blue_team,red_team,result,GEN,T1,DRX,DK,HLE,KT,LSB,NS,KDF,BRION
197,198,game_2,KDF,DRX,DRX,0.67,0.79,0.29,0.72,0.55,0.62,0.5,0.18,0.38,0.33
198,199,game_3,KDF,DRX,KDF,0.67,0.79,0.29,0.72,0.55,0.62,0.5,0.18,0.4,0.33
199,200,game_1,LSB,BRION,LSB,0.67,0.79,0.29,0.72,0.55,0.62,0.51,0.18,0.4,0.32
200,201,game_2,BRION,LSB,LSB,0.67,0.79,0.29,0.72,0.55,0.62,0.52,0.18,0.4,0.31
201,202,game_1,DK,T1,T1,0.67,0.8,0.29,0.7,0.55,0.62,0.52,0.18,0.4,0.31
202,203,game_2,DK,T1,T1,0.67,0.8,0.29,0.68,0.55,0.62,0.52,0.18,0.4,0.31
203,204,game_1,HLE,GEN,GEN,0.68,0.8,0.29,0.68,0.54,0.62,0.52,0.18,0.4,0.31
204,205,game_2,HLE,GEN,GEN,0.68,0.8,0.29,0.68,0.52,0.62,0.52,0.18,0.4,0.31
205,206,game_1,KDF,KT,KT,0.68,0.8,0.29,0.68,0.52,0.62,0.52,0.18,0.39,0.31
206,207,game_2,KDF,KT,KT,0.68,0.8,0.29,0.68,0.52,0.63,0.52,0.18,0.38,0.31
207,208,game_1,BRION,NS,NS,0.68,0.8,0.29,0.68,0.52,0.63,0.52,0.21,0.38,0.3
208,209,game_2,BRION,NS,NS,0.68,0.8,0.29,0.68,0.52,0.63,0.52,0.23,0.38,0.3
209,210,game_1,HLE,LSB,HLE,0.68,0.8,0.29,0.68,0.53,0.63,0.51,0.23,0.38,0.3
210,211,game_2,LSB,HLE,LSB,0.68,0.8,0.29,0.68,0.52,0.63,0.52,0.23,0.38,0.3
211,212,game_3,HLE,LSB,HLE,0.68,0.8,0.29,0.68,0.53,0.63,0.51,0.23,0.38,0.3
212,213,game_1,GEN,DK,GEN,0.69,0.8,0.29,0.67,0.53,0.63,0.51,0.23,0.38,0.3
213,214,game_2,GEN,DK,GEN,0.7,0.8,0.29,0.65,0.53,0.63,0.51,0.23,0.38,0.3
214,215,game_1,T1,NS,T1,0.7,0.81,0.29,0.65,0.53,0.63,0.51,0.22,0.38,0.3
215,216,game_2,NS,T1,T1,0.7,0.81,0.29,0.65,0.53,0.63,0.51,0.21,0.38,0.3
216,217,game_1,KT,DRX,KT,0.7,0.81,0.28,0.65,0.53,0.64,0.51,0.21,0.38,0.3
217,218,game_2,KT,DRX,KT,0.7,0.81,0.27,0.65,0.53,0.65,0.51,0.21,0.38,0.3
218,219,game_1,LSB,KT,KT,0.7,0.81,0.27,0.65,0.53,0.66,0.5,0.21,0.38,0.3
219,220,game_2,LSB,KT,LSB,0.7,0.81,0.27,0.65,0.53,0.64,0.51,0.21,0.38,0.3
220,221,game_3,KT,LSB,KT,0.7,0.81,0.27,0.65,0.53,0.65,0.5,0.21,0.38,0.3
221,222,game_4,LSB,KT,KT,0.7,0.81,0.27,0.65,0.53,0.66,0.49,0.21,0.38,0.3
222,223,game_1,DK,HLE,HLE,0.7,0.81,0.27,0.63,0.54,0.66,0.49,0.21,0.38,0.3
223,224,game_2,DK,HLE,DK,0.7,0.81,0.27,0.64,0.53,0.66,0.49,0.21,0.38,0.3
224,225,game_3,HLE,DK,HLE,0.7,0.81,0.27,0.63,0.54,0.66,0.49,0.21,0.38,0.3
225,226,game_4,DK,HLE,HLE,0.7,0.81,0.27,0.61,0.55,0.66,0.49,0.21,0.38,0.3
226,227,game_1,T1,KT,T1,0.7,0.82,0.27,0.61,0.55,0.65,0.49,0.21,0.38,0.3
227,228,game_2,KT,T1,KT,0.7,0.8,0.27,0.61,0.55,0.65,0.49,0.21,0.38,0.3
228,229,game_3,T1,KT,T1,0.7,0.8,0.27,0.61,0.55,0.64,0.49,0.21,0.38,0.3
229,230,game_4,KT,T1,KT,0.7,0.79,0.27,0.61,0.55,0.65,0.49,0.21,0.38,0.3
230,231,game_5,T1,KT,T1,0.7,0.79,0.27,0.61,0.55,0.63,0.49,0.21,0.38,0.3
