,gameid,split,blue_team,red_team,blue_wr,red_wr,result
214,ESPORTSTMNT01_3327201,Spring,T1,Nongshim RedForce,0.8048780487804879,0.225,1
215,ESPORTSTMNT01_3328186,Spring,Nongshim RedForce,T1,0.21951219512195122,0.8095238095238095,0
216,ESPORTSTMNT01_3328190,Spring,KT Rolster,DRX,0.6341463414634146,0.2857142857142857,1
217,ESPORTSTMNT01_3328205,Spring,KT Rolster,DRX,0.6428571428571429,0.27906976744186046,1
218,ESPORTSTMNT01_3330071,Spring,Liiv SANDBOX,KT Rolster,0.5106382978723404,0.6511627906976745,0
219,ESPORTSTMNT01_3331073,Spring,Liiv SANDBOX,KT Rolster,0.5,0.6590909090909091,1
220,ESPORTSTMNT01_3331076,Spring,KT Rolster,Liiv SANDBOX,0.6444444444444445,0.5102040816326531,1
221,ESPORTSTMNT01_3332065,Spring,Liiv SANDBOX,KT Rolster,0.5,0.6521739130434783,0
222,ESPORTSTMNT01_3332285,Spring,Dplus KIA,Hanwha Life Esports,0.65,0.5333333333333333,0
223,ESPORTSTMNT01_3331293,Spring,Dplus KIA,Hanwha Life Esports,0.6341463414634146,0.5434782608695652,1
224,ESPORTSTMNT01_3332318,Spring,Hanwha Life Esports,Dplus KIA,0.5319148936170213,0.6428571428571429,1
225,ESPORTSTMNT01_3331318,Spring,Dplus KIA,Hanwha Life Esports,0.627906976744186,0.5416666666666666,0
226,ESPORTSTMNT01_3332801,Spring,T1,KT Rolster,0.813953488372093,0.6595744680851063,1
227,ESPORTSTMNT01_3331791,Spring,KT Rolster,T1,0.6458333333333334,0.8181818181818182,1
228,ESPORTSTMNT01_3331800,Spring,T1,KT Rolster,0.8,0.6530612244897959,1
229,ESPORTSTMNT01_3330869,Spring,KT Rolster,T1,0.64,0.8043478260869565,1
230,ESPORTSTMNT01_3331817,Spring,T1,KT Rolster,0.7872340425531915,0.6470588235294118,1
231,ESPORTSTMNT01_3334067,Spring,Gen.G,Hanwha Life Esports,0.6976744186046512,0.5510204081632653,1
232,ESPORTSTMNT01_3333121,Spring,Hanwha Life Esports,Gen.G,0.54,0.7045454545454546,0
233,ESPORTSTMNT01_3335064,Spring,Hanwha Life Esports,Gen.G,0.5294117647058824,0.7111111111111111,1
234,ESPORTSTMNT01_3334092,Spring,Gen.G,Hanwha Life Esports,0.6956521739130435,0.5384615384615384,1
235,ESPORTSTMNT01_3336792,Spring,T1,Gen.G,0.7916666666666666,0.7021276595744681,1
236,ESPORTSTMNT01_3338726,Spring,Gen.G,T1,0.6875,0.7959183673469388,0
237,ESPORTSTMNT01_3336831,Spring,Gen.G,T1,0.673469387755102,0.8,1
238,ESPORTSTMNT01_3336846,Spring,T1,Gen.G,0.7843137254901961,0.68,1
239,ESPORTSTMNT01_3337944,Spring,KT Rolster,Hanwha Life Esports,0.6346153846153846,0.5283018867924528,1
240,ESPORTSTMNT01_3339077,Spring,Hanwha Life Esports,KT Rolster,0.5185185185185185,0.6415094339622641,0
241,ESPORTSTMNT01_3337979,Spring,Hanwha Life Esports,KT Rolster,0.509090909090909,0.6481481481481481,1
242,ESPORTSTMNT01_3339102,Spring,KT Rolster,Hanwha Life Esports,0.6363636363636364,0.5178571428571429,1
243,ESPORTSTMNT01_3340970,Spring,Gen.G,KT Rolster,0.6666666666666666,0.6428571428571429,0
244,ESPORTSTMNT01_3340987,Spring,Gen.G,KT Rolster,0.6538461538461539,0.6491228070175439,1
245,ESPORTSTMNT01_3341983,Spring,KT Rolster,Gen.G,0.6379310344827587,0.660377358490566,0
246,ESPORTSTMNT01_3341999,Spring,KT Rolster,Gen.G,0.6271186440677966,0.6666666666666666,0
247,ESPORTSTMNT01_3344120,Spring,T1,Gen.G,0.7884615384615384,0.6727272727272727,0
248,ESPORTSTMNT01_3344136,Spring,T1,Gen.G,0.7735849056603774,0.6785714285714286,0
249,ESPORTSTMNT01_3344140,Spring,T1,Gen.G,0.7592592592592593,0.6842105263157895,1
250,ESPORTSTMNT01_3344160,Spring,Gen.G,T1,0.6724137931034483,0.7636363636363637,1
251,ESPORTSTMNT03_3167508,Summer,KT Rolster,Hanwha Life Esports,0.6166666666666667,0.5087719298245614,1
252,ESPORTSTMNT03_3165687,Summer,Hanwha Life Esports,KT Rolster,0.5,0.6229508196721312,1
253,ESPORTSTMNT03_3166614,Summer,KT Rolster,Hanwha Life Esports,0.6129032258064516,0.5084745762711864,1
254,ESPORTSTMNT03_3166620,Summer,Dplus KIA,Liiv SANDBOX,0.6136363636363636,0.49019607843137253,1
255,ESPORTSTMNT03_3167593,Summer,Liiv SANDBOX,Dplus KIA,0.4807692307692308,0.6222222222222222,0
256,ESPORTSTMNT03_3167810,Summer,Kwangdong Freecs,DRX,0.37777777777777777,0.2727272727272727,1
257,ESPORTSTMNT03_3165973,Summer,DRX,Kwangdong Freecs,0.26666666666666666,0.391304347826087,0
258,ESPORTSTMNT03_3165974,Summer,OKSavingsBank BRION,Nongshim RedForce,0.5,0.21428571428571427,1
259,ESPORTSTMNT03_3166917,Summer,Nongshim RedForce,OKSavingsBank BRION,0.20930232558139536,1.0,1
260,ESPORTSTMNT03_3166925,Summer,OKSavingsBank BRION,Nongshim RedForce,0.5,0.22727272727272727,0
261,ESPORTSTMNT03_3169046,Summer,KT Rolster,Gen.G,0.6190476190476191,0.6779661016949152,1
262,ESPORTSTMNT03_3170021,Summer,Gen.G,KT Rolster,0.6666666666666666,0.625,1
263,ESPORTSTMNT03_3168164,Summer,KT Rolster,Gen.G,0.6153846153846154,0.6721311475409836,0
