,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
72,73,ESPORTSTMNT03_3103007,game_1,KDF,DK,DK,0.47,0.71,0.25,0.67,0.5,0.53,0.33,0.56,0.69,0.27
73,74,ESPORTSTMNT03_3103038,game_2,KDF,DK,KDF,0.47,0.71,0.31,0.62,0.5,0.53,0.33,0.56,0.69,0.27
74,75,ESPORTSTMNT03_3102090,game_3,DK,KDF,DK,0.47,0.71,0.29,0.64,0.5,0.53,0.33,0.56,0.69,0.27
75,76,ESPORTSTMNT01_3304845,game_1,LSB,KDF,KDF,0.47,0.71,0.33,0.64,0.5,0.53,0.33,0.53,0.69,0.27
76,77,ESPORTSTMNT01_3303961,game_2,KDF,LSB,LSB,0.47,0.71,0.31,0.64,0.5,0.53,0.33,0.56,0.69,0.27
77,78,ESPORTSTMNT01_3305848,game_3,LSB,KDF,LSB,0.47,0.71,0.29,0.64,0.5,0.53,0.33,0.58,0.69,0.27
78,79,ESPORTSTMNT01_3304899,game_1,T1,BRION,T1,0.44,0.71,0.29,0.64,0.5,0.53,0.33,0.58,0.71,0.27
79,80,ESPORTSTMNT01_3304926,game_2,BRION,T1,T1,0.41,0.71,0.29,0.64,0.5,0.53,0.33,0.58,0.72,0.27
80,81,ESPORTSTMNT01_3306459,game_1,DK,KT,DK,0.41,0.71,0.29,0.67,0.5,0.5,0.33,0.58,0.72,0.27
81,82,ESPORTSTMNT01_3308368,game_2,KT,DK,KT,0.41,0.71,0.29,0.62,0.5,0.53,0.33,0.58,0.72,0.27
82,83,ESPORTSTMNT01_3308372,game_3,DK,KT,KT,0.41,0.71,0.29,0.59,0.5,0.56,0.33,0.58,0.72,0.27
83,84,ESPORTSTMNT01_3308381,game_1,GEN,NS,GEN,0.41,0.73,0.29,0.59,0.5,0.56,0.33,0.58,0.72,0.25
84,85,ESPORTSTMNT01_3306514,game_2,NS,GEN,GEN,0.41,0.75,0.29,0.59,0.5,0.56,0.33,0.58,0.72,0.24
85,86,ESPORTSTMNT01_3309028,game_1,BRION,HLE,HLE,0.39,0.75,0.29,0.59,0.53,0.56,0.33,0.58,0.72,0.24
86,87,ESPORTSTMNT01_3309043,game_2,BRION,HLE,BRION,0.42,0.75,0.29,0.59,0.5,0.56,0.33,0.58,0.72,0.24
87,88,ESPORTSTMNT01_3308953,game_3,BRION,HLE,HLE,0.4,0.75,0.29,0.59,0.53,0.56,0.33,0.58,0.72,0.24
88,89,ESPORTSTMNT01_3309058,game_1,DRX,LSB,LSB,0.4,0.75,0.29,0.59,0.53,0.56,0.31,0.6,0.72,0.24
89,90,ESPORTSTMNT01_3309094,game_2,DRX,LSB,DRX,0.4,0.75,0.29,0.59,0.53,0.56,0.35,0.57,0.72,0.24
90,91,ESPORTSTMNT01_3311011,game_3,LSB,DRX,LSB,0.4,0.75,0.29,0.59,0.53,0.56,0.33,0.59,0.72,0.24
91,92,ESPORTSTMNT01_3310502,game_1,KDF,NS,KDF,0.4,0.75,0.33,0.59,0.53,0.56,0.33,0.59,0.72,0.22
92,93,ESPORTSTMNT01_3311520,game_2,NS,KDF,KDF,0.4,0.75,0.37,0.59,0.53,0.56,0.33,0.59,0.72,0.21
93,94,ESPORTSTMNT01_3310542,game_1,KT,GEN,GEN,0.4,0.76,0.37,0.59,0.53,0.53,0.33,0.59,0.72,0.21
94,95,ESPORTSTMNT01_3310561,game_2,GEN,KT,KT,0.4,0.72,0.37,0.59,0.53,0.55,0.33,0.59,0.72,0.21
95,96,ESPORTSTMNT01_3309624,game_3,KT,GEN,KT,0.4,0.68,0.37,0.59,0.53,0.57,0.33,0.59,0.72,0.21
96,97,ESPORTSTMNT01_3309955,game_1,DK,HLE,DK,0.4,0.68,0.37,0.61,0.5,0.57,0.33,0.59,0.72,0.21
97,98,ESPORTSTMNT01_3311892,game_2,HLE,DK,DK,0.4,0.68,0.37,0.63,0.48,0.57,0.33,0.59,0.72,0.21
